%time,field.header.seq,field.header.stamp,field.header.frame_id,field.bump_bits
1595768231298072344,7183,1595768231112283096,base_link,0
1595768231301477811,7184,1595768231212283096,base_link,0
1595768231313167922,7185,1595768231314283096,base_link,0
1595768231414037765,7186,1595768231414283096,base_link,0
1595768231513907406,7187,1595768231515283096,base_link,0
1595768231612520033,7188,1595768231615283096,base_link,0
1595768231712551208,7189,1595768231715283096,base_link,0
1595768231817397981,7190,1595768231815283096,base_link,0
1595768231914818280,7191,1595768231916283096,base_link,0
1595768232020081587,7192,1595768232016283096,base_link,0
1595768232115967677,7193,1595768232118283096,base_link,0
1595768232222023452,7194,1595768232219283096,base_link,0
1595768232320603758,7195,1595768232321283096,base_link,0
1595768232424637632,7196,1595768232425283096,base_link,0
1595768232524861829,7197,1595768232527283096,base_link,0
1595768232627289619,7198,1595768232627283096,base_link,0
1595768232726899040,7199,1595768232727283096,base_link,0
1595768232828894760,7200,1595768232828283096,base_link,0
1595768232926753709,7201,1595768232928283096,base_link,0
1595768233024642447,7202,1595768233028283096,base_link,0
1595768233126307920,7203,1595768233128283096,base_link,0
1595768233226478768,7204,1595768233228283096,base_link,0
1595768233324851272,7205,1595768233328283096,base_link,0
1595768233424823092,7206,1595768233428283096,base_link,0
1595768233533805594,7207,1595768233527444932,base_link,0
1595768233630984791,7208,1595768233628444932,base_link,0
1595768233730205103,7209,1595768233729444932,base_link,0
1595768233830026202,7210,1595768233830444932,base_link,0
1595768233934440753,7211,1595768233930444932,base_link,0
1595768234032962412,7212,1595768234032444932,base_link,0
1595768234134478356,7213,1595768234133444932,base_link,0
1595768234237448705,7214,1595768234235444932,base_link,0
1595768234341962757,7215,1595768234337444932,base_link,0
1595768234439300869,7216,1595768234439444932,base_link,0
1595768234543322586,7217,1595768234540444932,base_link,0
1595768234643460682,7218,1595768234642444932,base_link,0
1595768234747514651,7219,1595768234745444932,base_link,0
1595768234846483088,7220,1595768234846444932,base_link,0
1595768234957318555,7221,1595768234948444932,base_link,0
1595768235049801449,7222,1595768235050444932,base_link,0
1595768235162080989,7223,1595768235152444932,base_link,0
1595768235253892480,7224,1595768235254444932,base_link,0
1595768235355598396,7225,1595768235355444932,base_link,0
1595768235454662481,7226,1595768235456444932,base_link,0
1595768235563158787,7227,1595768235558444932,base_link,0
1595768235663192340,7228,1595768235658444932,base_link,0
1595768235767026416,7229,1595768235759444932,base_link,0
1595768235863108684,7230,1595768235861444932,base_link,0
1595768235971391967,7231,1595768235968413919,base_link,0
1595768236064782701,7232,1595768236069413919,base_link,0
1595768236166762206,7233,1595768236169413919,base_link,0
1595768236266536389,7234,1595768236269413919,base_link,0
1595768236367195579,7235,1595768236369413919,base_link,0
1595768236466630113,7236,1595768236469413919,base_link,0
1595768236567468502,7237,1595768236569413919,base_link,0
1595768236668868870,7238,1595768236670413919,base_link,0
1595768236768293966,7239,1595768236770413919,base_link,0
1595768236867011419,7240,1595768236870413919,base_link,0
1595768236966800765,7241,1595768236971413919,base_link,0
1595768237070387414,7242,1595768237071413919,base_link,0
1595768237169153476,7243,1595768237172413919,base_link,0
1595768237268830154,7244,1595768237272413919,base_link,0
1595768237369973466,7245,1595768237374413919,base_link,0
1595768237474065579,7246,1595768237475413919,base_link,0
1595768237573057761,7247,1595768237576413919,base_link,0
1595768237676946093,7248,1595768237677413919,base_link,0
1595768237776171158,7249,1595768237779413919,base_link,0
1595768237876685433,7250,1595768237880413919,base_link,0
1595768237976760269,7251,1595768237980413919,base_link,0
1595768238078000053,7252,1595768238080413919,base_link,0
1595768238177737764,7253,1595768238180413919,base_link,0
1595768238277042673,7254,1595768238280413919,base_link,0
1595768238378384990,7255,1595768238380413919,base_link,0
1595768238477679110,7256,1595768238480413919,base_link,0
1595768238576870102,7257,1595768238577563077,base_link,0
1595768238677358678,7258,1595768238677563077,base_link,0
1595768238778771905,7259,1595768238778563077,base_link,0
1595768238878633847,7260,1595768238879563077,base_link,0
1595768238979363777,7261,1595768238979563077,base_link,0
1595768239080093041,7262,1595768239079563077,base_link,0
1595768239179717379,7263,1595768239179563077,base_link,0
1595768239279936139,7264,1595768239280563077,base_link,0
1595768239383048565,7265,1595768239381563077,base_link,0
1595768239482670333,7266,1595768239483563077,base_link,0
1595768239590105870,7267,1595768239586563077,base_link,0
1595768239689620201,7268,1595768239689563077,base_link,0
1595768239790919307,7269,1595768239791563077,base_link,0
1595768239890559561,7270,1595768239891563077,base_link,0
1595768239999154987,7271,1595768239991563077,base_link,0
1595768240093162452,7272,1595768240093563077,base_link,0
1595768240201008044,7273,1595768240194563077,base_link,0
1595768240297726115,7274,1595768240296563077,base_link,0
1595768240397927110,7275,1595768240397563077,base_link,0
1595768240496906719,7276,1595768240497563077,base_link,0
1595768240597170165,7277,1595768240597563077,base_link,0
1595768240696775747,7278,1595768240698563077,base_link,0
1595768240798045522,7279,1595768240799563077,base_link,0
1595768240900665117,7280,1595768240900563077,base_link,0
1595768241001431298,7281,1595768241000563077,base_link,0
1595768241101101775,7282,1595768241105272012,base_link,0
1595768241202437767,7283,1595768241206272012,base_link,0
1595768241303603888,7284,1595768241306272012,base_link,0
1595768241402172806,7285,1595768241406272012,base_link,0
1595768241503518433,7286,1595768241507272012,base_link,0
1595768241602928601,7287,1595768241608272012,base_link,0
1595768241707479538,7288,1595768241710272012,base_link,0
1595768241805402725,7289,1595768241811272012,base_link,0
1595768241908816884,7290,1595768241912272012,base_link,0
1595768242009427819,7291,1595768242013272012,base_link,0
1595768242121736766,7292,1595768242114272012,base_link,0
1595768242215709040,7293,1595768242216272012,base_link,0
1595768242323763146,7294,1595768242318272012,base_link,0
1595768242415444355,7295,1595768242419272012,base_link,0
1595768242524173579,7296,1595768242521272012,base_link,0
1595768242618723240,7297,1595768242623272012,base_link,0
1595768242720574579,7298,1595768242723272012,base_link,0
1595768242821862973,7299,1595768242825272012,base_link,0
1595768242925128457,7300,1595768242926272012,base_link,0
1595768243025686065,7301,1595768243028272012,base_link,0
1595768243129642802,7302,1595768243131272012,base_link,0
1595768243229512987,7303,1595768243234272012,base_link,0
1595768243333716009,7304,1595768243335272012,base_link,0
1595768243432347037,7305,1595768243437272012,base_link,0
1595768243536573076,7306,1595768243536374109,base_link,0
1595768243635496809,7307,1595768243637374109,base_link,0
1595768243740021154,7308,1595768243738374109,base_link,0
1595768243837980284,7309,1595768243840374109,base_link,0
1595768243944087380,7310,1595768243943374109,base_link,0
1595768244044140326,7311,1595768244045374109,base_link,0
1595768244149548022,7312,1595768244147374109,base_link,0
1595768244246611261,7313,1595768244249374109,base_link,0
1595768244351264424,7314,1595768244350374109,base_link,0
1595768244452585968,7315,1595768244453374109,base_link,0
1595768244554672342,7316,1595768244555374109,base_link,0
1595768244654854159,7317,1595768244656374109,base_link,0
1595768244757426105,7318,1595768244756374109,base_link,0
1595768244856480110,7319,1595768244858374109,base_link,0
1595768244959398343,7320,1595768244958374109,base_link,0
1595768245056459376,7321,1595768245058374109,base_link,0
1595768245156854339,7322,1595768245158374109,base_link,0
1595768245256817177,7323,1595768245258374109,base_link,0
1595768245357652541,7324,1595768245359374109,base_link,0
1595768245457988069,7325,1595768245460374109,base_link,0
1595768245557837847,7326,1595768245560374109,base_link,0
1595768245658970082,7327,1595768245660374109,base_link,0
1595768245762084107,7328,1595768245761374109,base_link,0
1595768245859625624,7329,1595768245861374109,base_link,0
1595768245959128163,7330,1595768245961374109,base_link,0
1595768246060774986,7331,1595768246060422986,base_link,0
1595768246160778038,7332,1595768246161422986,base_link,0
1595768246263720457,7333,1595768246263422986,base_link,0
1595768246362580928,7334,1595768246364422986,base_link,0
1595768246474143606,7335,1595768246465422986,base_link,0
1595768246564333115,7336,1595768246566422986,base_link,0
1595768246669043957,7337,1595768246666422986,base_link,0
1595768246766720316,7338,1595768246768422986,base_link,0
1595768246879113533,7339,1595768246869422986,base_link,0
1595768246968858380,7340,1595768246971422986,base_link,0
1595768247072970302,7341,1595768247071422986,base_link,0
1595768247172986857,7342,1595768247173422986,base_link,0
1595768247289022056,7343,1595768247274422986,base_link,0
1595768247376951085,7344,1595768247376422986,base_link,0
1595768247484064400,7345,1595768247480422986,base_link,0
1595768247581857737,7346,1595768247582422986,base_link,0
1595768247687708945,7347,1595768247683422986,base_link,0
1595768247783248017,7348,1595768247784422986,base_link,0
1595768247888974216,7349,1595768247884422986,base_link,0
1595768247985548945,7350,1595768247986422986,base_link,0
1595768248091342461,7351,1595768248087422986,base_link,0
1595768248187980383,7352,1595768248189422986,base_link,0
1595768248289427803,7353,1595768248289422986,base_link,0
1595768248388464994,7354,1595768248390422986,base_link,0
1595768248490927658,7355,1595768248490422986,base_link,0
1595768248588570575,7356,1595768248590995960,base_link,0
1595768248690443395,7357,1595768248690995960,base_link,0
1595768248790689087,7358,1595768248790995960,base_link,0
1595768248890081661,7359,1595768248890995960,base_link,0
1595768248990283563,7360,1595768248990995960,base_link,0
1595768249092341132,7361,1595768249090995960,base_link,0
1595768249192926279,7362,1595768249191995960,base_link,0
1595768249291972150,7363,1595768249292995960,base_link,0
1595768249397107120,7364,1595768249394995960,base_link,0
1595768249494884233,7365,1595768249496995960,base_link,0
1595768249599133797,7366,1595768249597995960,base_link,0
1595768249701679566,7367,1595768249699995960,base_link,0
1595768249810470263,7368,1595768249800995960,base_link,0
1595768249901259739,7369,1595768249901995960,base_link,0
1595768250004293249,7370,1595768250002995960,base_link,0
1595768250104235882,7371,1595768250104995960,base_link,0
1595768250206937639,7372,1595768250204995960,base_link,0
1595768250302697613,7373,1595768250304995960,base_link,0
1595768250402998454,7374,1595768250404995960,base_link,0
1595768250509956684,7375,1595768250504995960,base_link,0
1595768250604821387,7376,1595768250605995960,base_link,0
1595768250706241469,7377,1595768250705995960,base_link,0
1595768250804976333,7378,1595768250805995960,base_link,0
1595768250903938263,7379,1595768250905995960,base_link,0
1595768251004976905,7380,1595768251006995960,base_link,0
1595768251116558307,7381,1595768251116594881,base_link,0
1595768251212986204,7382,1595768251218594881,base_link,0
1595768251314518167,7383,1595768251319594881,base_link,0
1595768251414251593,7384,1595768251420594881,base_link,0
1595768251517312676,7385,1595768251520594881,base_link,0
1595768251615493483,7386,1595768251622594881,base_link,0
1595768251717104355,7387,1595768251724594881,base_link,0
1595768251817731108,7388,1595768251825594881,base_link,0
1595768251924097216,7389,1595768251926594881,base_link,0
1595768252024702115,7390,1595768252028594881,base_link,0
1595768252125328507,7391,1595768252129594881,base_link,0
1595768252222293592,7392,1595768252230594881,base_link,0
1595768252326359928,7393,1595768252331594881,base_link,0
1595768252425623857,7394,1595768252432594881,base_link,0
1595768252526213615,7395,1595768252533594881,base_link,0
1595768252627640302,7396,1595768252634594881,base_link,0
1595768252732782940,7397,1595768252737594881,base_link,0
1595768252834719709,7398,1595768252839594881,base_link,0
1595768252937869619,7399,1595768252941594881,base_link,0
1595768253038395082,7400,1595768253043594881,base_link,0
1595768253144288957,7401,1595768253144594881,base_link,0
1595768253240363550,7402,1595768253246594881,base_link,0
1595768253341375627,7403,1595768253348594881,base_link,0
1595768253440835757,7404,1595768253449594881,base_link,0
1595768253545400501,7405,1595768253549594881,base_link,0
1595768253645177013,7406,1595768253646760116,base_link,0
1595768253746625158,7407,1595768253747760116,base_link,0
1595768253847440031,7408,1595768253847760116,base_link,0
1595768253946582830,7409,1595768253947760116,base_link,0
1595768254044673520,7410,1595768254047760116,base_link,0
1595768254145006841,7411,1595768254148760116,base_link,0
1595768254246832165,7412,1595768254249760116,base_link,0
1595768254349369249,7413,1595768254349760116,base_link,0
1595768254446794873,7414,1595768254449760116,base_link,0
1595768254547820220,7415,1595768254550760116,base_link,0
1595768254647326211,7416,1595768254651760116,base_link,0
1595768254748145460,7417,1595768254751760116,base_link,0
1595768254849514020,7418,1595768254851760116,base_link,0
1595768254948516172,7419,1595768254952760116,base_link,0
1595768255050353271,7420,1595768255052760116,base_link,0
1595768255150227912,7421,1595768255152760116,base_link,0
1595768255253409091,7422,1595768255252760116,base_link,0
1595768255351619469,7423,1595768255354760116,base_link,0
1595768255454253624,7424,1595768255455760116,base_link,0
1595768255552151015,7425,1595768255555760116,base_link,0
1595768255654159164,7426,1595768255655760116,base_link,0
1595768255755591208,7427,1595768255755760116,base_link,0
1595768255855172448,7428,1595768255856760116,base_link,0
1595768255953957146,7429,1595768255957760116,base_link,0
1595768256055875656,7430,1595768256057760116,base_link,0
1595768256156401336,7431,1595768256153743076,base_link,0
1595768256256301326,7432,1595768256253743076,base_link,0
1595768256357558960,7433,1595768256353743076,base_link,0
1595768256456218958,7434,1595768256453743076,base_link,0
1595768256560166195,7435,1595768256554743076,base_link,0
1595768256656158342,7436,1595768256654743076,base_link,0
1595768256761908351,7437,1595768256756743076,base_link,0
1595768256859983297,7438,1595768256858743076,base_link,0
1595768256960923467,7439,1595768256958743076,base_link,0
1595768257063572569,7440,1595768257060743076,base_link,0
1595768257171197670,7441,1595768257164743076,base_link,0
1595768257268240637,7442,1595768257266743076,base_link,0
1595768257371454811,7443,1595768257366743076,base_link,0
1595768257468254399,7444,1595768257468743076,base_link,0
1595768257575244717,7445,1595768257569743076,base_link,0
1595768257673676030,7446,1595768257671743076,base_link,0
1595768257775067366,7447,1595768257772743076,base_link,0
1595768257876276693,7448,1595768257874743076,base_link,0
1595768257983683023,7449,1595768257976743076,base_link,0
1595768258083264324,7450,1595768258078743076,base_link,0
1595768258179887175,7451,1595768258178743076,base_link,0
1595768258287620095,7452,1595768258279743076,base_link,0
1595768258382152116,7453,1595768258379743076,base_link,0
1595768258481553737,7454,1595768258481743076,base_link,0
1595768258585215148,7455,1595768258582743076,base_link,0
1595768258684501897,7456,1595768258686125076,base_link,0
1595768258785477683,7457,1595768258787125076,base_link,0
1595768258888212661,7458,1595768258887125076,base_link,0
1595768258986984692,7459,1595768258987125076,base_link,0
1595768259085014337,7460,1595768259087125076,base_link,0
1595768259186417580,7461,1595768259187125076,base_link,0
1595768259288115309,7462,1595768259288125076,base_link,0
1595768259389269764,7463,1595768259388125076,base_link,0
1595768259487162316,7464,1595768259488125076,base_link,0
1595768259587485091,7465,1595768259589125076,base_link,0
1595768259688181491,7466,1595768259690125076,base_link,0
1595768259799387771,7467,1595768259791125076,base_link,0
1595768259890348864,7468,1595768259891125076,base_link,0
1595768259991488189,7469,1595768259991125076,base_link,0
1595768260092881482,7470,1595768260092125076,base_link,0
1595768260190174895,7471,1595768260192125076,base_link,0
1595768260292271501,7472,1595768260292125076,base_link,0
1595768260391268466,7473,1595768260392125076,base_link,0
1595768260495064278,7474,1595768260494125076,base_link,0
1595768260593592518,7475,1595768260594125076,base_link,0
1595768260693271074,7476,1595768260694125076,base_link,0
1595768260794064337,7477,1595768260795125076,base_link,0
1595768260895555712,7478,1595768260896125076,base_link,0
1595768260998374255,7479,1595768260996125076,base_link,0
1595768261099849446,7480,1595768261098125076,base_link,0
1595768261203892599,7481,1595768261206039922,base_link,0
1595768261300545864,7482,1595768261307039922,base_link,0
1595768261402384837,7483,1595768261407039922,base_link,0
1595768261502056720,7484,1595768261509039922,base_link,0
1595768261603693692,7485,1595768261609039922,base_link,0
1595768261701230087,7486,1595768261709039922,base_link,0
1595768261802400478,7487,1595768261809039922,base_link,0
1595768261902408898,7488,1595768261909039922,base_link,0
1595768262003149114,7489,1595768262010039922,base_link,0
1595768262106061341,7490,1595768262110039922,base_link,0
1595768262202994639,7491,1595768262210039922,base_link,0
1595768262303809816,7492,1595768262310039922,base_link,0
1595768262402012653,7493,1595768262410039922,base_link,0
1595768262508194965,7494,1595768262511039922,base_link,0
1595768262606143803,7495,1595768262613039922,base_link,0
1595768262706771082,7496,1595768262713039922,base_link,0
1595768262806397831,7497,1595768262814039922,base_link,0
1595768262907996507,7498,1595768262914039922,base_link,0
1595768263005983736,7499,1595768263014039922,base_link,0
1595768263106869710,7500,1595768263114039922,base_link,0
1595768263205817792,7501,1595768263214039922,base_link,0
1595768263307665594,7502,1595768263316039922,base_link,0
1595768263411174626,7503,1595768263416039922,base_link,0
1595768263508756955,7504,1595768263516039922,base_link,0
1595768263610670294,7505,1595768263617039922,base_link,0
